,Unnamed: 0,optionid,securityid,strike,expiration,callput,contractsize,date_traded,contract_price,asset_price,contract_volume,days_to_maturity,rate,volatility,moneyness,mean_volatility,reversion,var_of_vol,rho
16,16,165437760.0,506528.0,0.6075,2020-03-20,C,10.0,2020-03-13,2.05,0.536610986328125,22.0,7.0,0.858947,0.51707426,1.1321050360093226,0.04556799756313326,3.9969070249219105,0.5280308924971154,-0.3929591032201511
17,17,165437761.0,506528.0,0.6125,2020-03-20,C,10.0,2020-03-13,1.65,0.536610986328125,37.0,7.0,0.858947,0.51707426,1.14142277293121,0.0475407384787736,0.5650739647837483,0.3239034676969492,-0.36630158499428067
31,31,165366298.0,506496.0,2.13,2020-03-20,C,5.0,2020-03-13,6.379999923706055,1.846416015625,67.0,7.0,0.858947,0.5719487138,1.1535861809988734,0.036214945948820514,2.7342722042035796,0.18149517855562905,-0.06396403155134721
32,32,165366299.0,506496.0,2.15,2020-03-20,C,5.0,2020-03-13,5.179999923706055,1.846416015625,133.0,7.0,0.858947,0.5719487138,1.1644179761256235,0.01911229642568085,3.1137788759821703,0.40406327582021395,-0.35467476121892844
33,33,165366300.0,506496.0,2.17,2020-03-20,C,5.0,2020-03-13,4.259999847412109,1.846416015625,17.0,7.0,0.858947,0.5719487138,1.1752497712523733,0.0021945739599919124,0.5809424788585771,0.5726075973480133,-0.3374944723895899
34,34,165407089.0,506496.0,2.11,2020-03-20,C,5.0,2020-03-13,7.94000015258789,1.846416015625,262.0,7.0,0.858947,0.5719487138,1.1427543858721234,0.04822833211782405,3.9547148652219253,0.4491307397004532,-0.5322383561793137
55,55,165437305.0,506497.0,0.4675,2020-03-20,C,10.0,2020-03-13,2.73799991607666,0.411835986328125,21.0,7.0,0.858947,0.5696349679,1.1351606355922608,0.04378122465342256,1.1278345510325034,0.1641162111583276,-0.17446629903108007
56,56,165437309.0,506497.0,0.475,2020-03-20,C,10.0,2020-03-13,1.9239999771118164,0.411835986328125,20.0,7.0,0.858947,0.5696349679,1.1533717687835805,0.01518675881384849,1.5477658178092646,0.028043668366117158,-0.3950401845309274
57,57,165437315.0,506497.0,0.485,2020-03-20,C,10.0,2020-03-13,1.231999969482422,0.411835986328125,6.0,7.0,0.858947,0.5696349679,1.17765327970534,0.0287440216950685,3.6658649165216954,0.10359352578983114,-0.22990440031720505
58,58,164916375.0,504880.0,0.375,2020-01-31,C,10.0,2020-01-24,3.8599998474121087,0.3779159912109375,38.0,7.0,1.583201,0.0971612447,0.9922840226961713,0.045010890564048646,3.1251371274983777,0.3848053519637872,-0.4646616555952798
59,59,164916376.0,504880.0,0.3775,2020-01-31,C,10.0,2020-01-24,2.220000076293945,0.3779159912109375,468.0,7.0,1.583201,0.0971612447,0.9988992495141459,0.0019463899483978134,1.1811550044325536,0.34863961404646243,-0.5848034680239643
60,60,164916377.0,504880.0,0.38,2020-01-31,C,10.0,2020-01-24,1.0199999809265137,0.3779159912109375,3152.0,7.0,1.583201,0.0971612447,1.0055144763321204,0.04943539502777666,4.355511379160928,0.48304873013885213,-0.15954482097295367
66,66,165126932.0,701056.0,9.6,2020-01-31,C,1.0,2020-01-24,34.0,9.562,18.0,7.0,1.583201,0.0973063745,1.0039740640033465,0.007272183638401202,1.204810704680343,0.05933275712381133,-0.10296052234169624
67,67,165126933.0,701056.0,9.7,2020-01-31,C,1.0,2020-01-24,8.0,9.562,50.0,7.0,1.583201,0.0973063745,1.014432127170048,0.01898427778593865,3.872987577614432,0.17771890006998536,-0.6106423265828768
68,68,165150152.0,701057.0,12.2,2020-01-31,C,2.0,2020-01-24,17.5,11.9825,50.0,7.0,1.583201,0.1096386751,1.0181514708950552,0.00442231923745816,0.991227013584598,0.28399333384622166,-0.09667764512359386
69,69,165150153.0,701057.0,12.25,2020-01-31,C,2.0,2020-01-24,10.0,11.9825,93.0,7.0,1.583201,0.1096386751,1.0223242228249532,0.010293984202494055,1.3789765478391909,0.02877130572447001,-0.737841378588864
70,70,165150154.0,701057.0,12.3,2020-01-31,C,2.0,2020-01-24,5.0,11.9825,38.0,7.0,1.583201,0.1096386751,1.026496974754851,0.014712460883391489,4.906242632189595,0.5574168216638581,-0.5819646906997086
71,71,165152934.0,506497.0,0.605,2020-01-31,C,10.0,2020-01-24,2.5649999618530277,0.6024259765625,25.0,7.0,1.583201,0.0841255253,1.0042727630242434,0.0016978772752630979,3.264147364584937,0.32016201053379245,-0.5679034555480799
72,72,165152936.0,506497.0,0.6075,2020-01-31,C,10.0,2020-01-24,1.540999984741211,0.6024259765625,224.0,7.0,1.583201,0.0841255253,1.0084226504747569,0.038683339225498936,3.013867150443226,0.04990900793356173,-0.32787646050209307
73,73,165152938.0,506497.0,0.61,2020-01-31,C,10.0,2020-01-24,0.8270000457763672,0.6024259765625,50.0,7.0,1.583201,0.0841255253,1.0125725379252704,0.03338392910879241,0.04596603119281061,0.42315289123952843,-0.5870382280222481
85,85,165013349.0,504880.0,0.38,2020-02-28,C,10.0,2020-02-21,2.539999961853028,0.38003798828125,753.0,7.0,1.602844,0.1648539629,0.99990004083165,0.046075415631557426,4.98914776071329,0.05285805059899425,-0.3149713519271079
86,86,165013350.0,504880.0,0.3825,2020-02-28,C,10.0,2020-02-21,1.3199999809265137,0.38003798828125,1212.0,7.0,1.602844,0.1648539629,1.0064783305739635,0.016776537459157498,3.3718676591899004,0.5676927817538926,-0.7495638497914662
87,87,165013351.0,504880.0,0.385,2020-02-28,C,10.0,2020-02-21,0.5800000190734863,0.38003798828125,3384.0,7.0,1.602844,0.1648539629,1.013056620316277,0.03763354412125535,3.4625196694870355,0.26095625672990214,-0.43378749649492837
88,88,165205498.0,504880.0,0.38,2020-02-28,C,10.0,2020-02-21,2.5200000762939454,0.38003798828125,7.0,7.0,1.602844,0.1648539629,0.99990004083165,0.048036398819754834,3.9094160382535494,0.49540647275398053,-0.6071349850930773
89,89,165205499.0,504880.0,0.3825,2020-02-28,C,10.0,2020-02-21,1.3199999809265137,0.38003798828125,495.0,7.0,1.602844,0.1648539629,1.0064783305739635,0.004899035249115008,2.353855550936171,0.49694869951568954,-0.24710419010277895
90,90,165205500.0,504880.0,0.385,2020-02-28,C,10.0,2020-02-21,0.5800000190734863,0.38003798828125,2302.0,7.0,1.602844,0.1648539629,1.013056620316277,0.010376406778188397,1.3025665012295244,0.09547599283631543,-0.5399806473154016
91,91,165206012.0,506496.0,2.75,2020-02-28,C,5.0,2020-02-21,6.320000076293946,2.715866015625,301.0,7.0,1.602844,0.168596357,1.0125683609495533,0.039725943325245046,2.4052198538470813,0.3885764494966512,-0.7154458394747836
92,92,165206013.0,506496.0,2.76,2020-02-28,C,5.0,2020-02-21,4.1200000762939455,2.715866015625,1642.0,7.0,1.602844,0.168596357,1.0162504277166424,0.015335576192393018,2.477985031242843,0.28504872111327156,-0.1004188384545395
93,93,165206014.0,506496.0,2.77,2020-02-28,C,5.0,2020-02-21,2.5799999237060542,2.715866015625,1251.0,7.0,1.602844,0.168596357,1.0199324944837318,0.013164971475606087,4.4873412950213245,0.2919464652745456,-0.1775720460499225
94,94,165206015.0,506496.0,2.78,2020-02-28,C,5.0,2020-02-21,1.5399999618530273,2.715866015625,3348.0,7.0,1.602844,0.168596357,1.023614561250821,0.038748765703637035,3.6998081867467296,0.029776815582837027,-0.28125352524923597
98,98,165231116.0,701056.0,10.1,2020-02-28,C,1.0,2020-02-21,17.0,9.86,6.0,7.0,1.602844,0.1481968037,1.024340770791075,0.021469725131302297,2.8462171053690657,0.2485935931011979,-0.1302002885819595
99,99,165253538.0,701057.0,12.7,2020-02-28,C,2.0,2020-02-21,17.0,12.3785,91.0,7.0,1.602844,0.201249973,1.0259724522357312,0.005937702846392983,1.7569752923315514,0.31573055620506413,-0.4982674549308228
100,100,165253539.0,701057.0,12.75,2020-02-28,C,2.0,2020-02-21,11.0,12.3785,128.0,7.0,1.602844,0.201249973,1.0300117138587066,0.03607298510664669,3.2369416194465037,0.022124529051593213,-0.07877216912678191
101,101,165253540.0,701057.0,12.8,2020-02-28,C,2.0,2020-02-21,7.0,12.3785,68.0,7.0,1.602844,0.201249973,1.034050975481682,0.04838380298295705,0.7595026552102918,0.6875557974279399,-0.45700992316122374
102,102,165253541.0,701057.0,12.85,2020-02-28,C,2.0,2020-02-21,4.0,12.3785,228.0,7.0,1.602844,0.201249973,1.0380902371046572,0.01798447820767718,1.7725885650289264,0.5080301393818136,-0.5743160422939021
103,103,165268990.0,701057.0,13.05,2020-02-28,C,2.0,2020-02-21,3.0,12.3785,11.0,7.0,1.602844,0.201249973,1.0542472835965586,0.035320945549122,4.123784139800169,0.4697325010426947,-0.375205845277846
104,104,165271520.0,701057.0,13.1,2020-02-28,C,2.0,2020-02-21,3.0,12.3785,21.0,7.0,1.602844,0.201249973,1.0582865452195338,0.017212789085532615,2.635769753885854,0.41253942218493395,-0.30448450285310924
105,105,165258057.0,506497.0,0.61,2020-02-28,C,10.0,2020-02-21,1.6459999084472656,0.602972021484375,25.0,7.0,1.602844,0.1510310363,1.0116555632188766,0.04437683297056155,2.883746348293224,0.5851027027148608,-0.4299408472270015
118,118,165119345.0,504880.0,0.365,2020-02-07,C,10.0,2020-01-31,3.029999923706055,0.3640909912109375,1154.0,7.0,1.610952,0.1467925985,1.002496652790115,0.021420132890718875,4.740876295828825,0.42221773471210344,-0.6008136242236249
119,119,165119346.0,504880.0,0.3675,2020-02-07,C,10.0,2020-01-31,1.8399999618530276,0.3640909912109375,3105.0,7.0,1.610952,0.1467925985,1.0093630682201842,0.040277969944291614,4.594760478203194,0.4320653824490114,-0.2227425935710975
120,120,165119347.0,504880.0,0.37,2020-02-07,C,10.0,2020-01-31,0.9699999809265136,0.3640909912109375,1648.0,7.0,1.610952,0.1467925985,1.0162294836502535,0.022506452053719414,3.4944599007175112,0.6009437405575065,-0.151890259670676
121,121,165119771.0,506496.0,2.64,2020-02-07,C,5.0,2020-01-31,7.959999847412109,2.5963939453125,395.0,7.0,1.610952,0.1615825649,1.0167948530176734,0.025586378913204845,2.3885866252237125,0.6777981223679693,-0.5854224090663454
122,122,165119772.0,506496.0,2.65,2020-02-07,C,5.0,2020-01-31,5.540000152587891,2.5963939453125,169.0,7.0,1.610952,0.1615825649,1.0206463486730433,0.045808836856910506,1.0100211037528184,0.4835204666150209,-0.0918135441149645
123,123,165119773.0,506496.0,2.66,2020-02-07,C,5.0,2020-01-31,3.7400001525878905,2.5963939453125,2822.0,7.0,1.610952,0.1615825649,1.0244978443284132,0.040804249625646376,2.0449703319694663,0.4204437460048998,-0.4076638824889056
124,124,165119774.0,506496.0,2.67,2020-02-07,C,5.0,2020-01-31,2.4600000381469727,2.5963939453125,1595.0,7.0,1.610952,0.1615825649,1.028349339983783,0.04359082828231726,4.72755053956345,0.3994669610836233,-0.30278099741301373
125,125,165119775.0,506496.0,2.68,2020-02-07,C,5.0,2020-01-31,1.6,2.5963939453125,1026.0,7.0,1.610952,0.1615825649,1.0322008356391532,0.0404558412799231,3.683814620261422,0.048685037326138984,-0.1870919224818508
126,126,165119776.0,506496.0,2.69,2020-02-07,C,5.0,2020-01-31,1.0199999809265137,2.5963939453125,504.0,7.0,1.610952,0.1615825649,1.0360523312945231,0.016053888571608034,1.3057131969759934,0.1437071824195112,-0.7399268851813726
131,131,165141448.0,701056.0,9.5,2020-02-07,C,1.0,2020-01-31,25.0,9.367900390625,18.0,7.0,1.610952,0.1233487419,1.0141013037998567,0.03748647274721109,1.6729323079635734,0.2733403310798719,-0.5638303905200805
132,132,165141449.0,701056.0,9.6,2020-02-07,C,1.0,2020-01-31,7.0,9.367900390625,6.0,7.0,1.610952,0.1233487419,1.024776054366171,0.033899489729739954,4.637747467816824,0.5417726919183952,-0.5199345404577645
133,133,165200074.0,701057.0,11.95,2020-02-07,C,2.0,2020-01-31,15.0,11.6165,56.0,7.0,1.610952,0.1751049429,1.0287091636895793,0.0057981491838027975,5.008323260760175,0.06986393785330663,-0.4538384058546194
134,134,165200075.0,701057.0,12.0,2020-02-07,C,2.0,2020-01-31,9.5,11.6165,72.0,7.0,1.610952,0.1751049429,1.0330133861317952,0.030369336985090197,0.7607523182142895,0.034300360459169746,-0.18815031132739696
135,135,165200076.0,701057.0,12.05,2020-02-07,C,2.0,2020-01-31,6.0,11.6165,27.0,7.0,1.610952,0.1751049429,1.0373176085740112,0.0391331383331915,2.625615084725316,0.014843787125755072,-0.43580073688891785
136,136,165200077.0,701057.0,12.1,2020-02-07,C,2.0,2020-01-31,3.5,11.6165,13.0,7.0,1.610952,0.1751049429,1.0416218310162269,0.013307327765286515,0.8996517286833128,0.36422353985180994,-0.1901495296883588
137,137,165200080.0,701057.0,12.25,2020-02-07,C,2.0,2020-01-31,3.0,11.6165,33.0,7.0,1.610952,0.1751049429,1.0545344983428744,0.03375214457232375,2.7131021537116267,0.5268261616677071,-0.7299124313646808
138,138,165206090.0,506497.0,0.59,2020-02-07,C,10.0,2020-01-31,1.8389999389648441,0.580633984375,60.0,7.0,1.610952,0.1318002886,1.016130670744465,0.040004157643309834,0.5071030895748807,0.5444045220061643,-0.6282483565251733
151,151,165119744.0,506496.0,2.75,2020-12-18,C,5.0,2020-12-11,1.0800000190734864,2.6228599609375,136.0,7.0,0.100759,0.0990185162,1.0484738190204619,0.020806866722661528,3.8219282226560214,0.33239525044215207,-0.08251885547853795
153,153,165230017.0,506497.0,0.565,2020-12-18,C,10.0,2020-12-11,1.4270000457763672,0.55075498046875,24.0,7.0,0.100759,0.1191701185,1.0258645314820865,0.009360614340113236,1.4161509228701863,0.23171090555590867,-0.12729996673140836
154,154,174082395.0,506497.0,0.5575,2020-12-18,C,10.0,2020-12-11,3.654000091552734,0.55075498046875,52.0,7.0,0.100759,0.1191701185,1.0122468607102004,0.028287043955273396,4.794174520624183,0.5595604791610213,-0.19719639871480465
155,155,174091408.0,506497.0,0.5625,2020-12-18,C,10.0,2020-12-11,1.9700000762939454,0.55075498046875,19.0,7.0,0.100759,0.1191701185,1.021325307891458,0.022628477824081464,0.7923370325622298,0.22502446311753244,-0.5912427845087287
156,156,165330880.0,506528.0,0.665,2020-12-18,C,10.0,2020-12-11,3.1,0.654675,762.0,7.0,0.100759,0.149820318,1.0157711841753543,0.03706608385995894,1.6687780789219608,0.6623462155188272,-0.7091818320041109
157,157,165330881.0,506528.0,0.6675,2020-12-18,C,10.0,2020-12-11,2.4,0.654675,114.0,7.0,0.100759,0.149820318,1.0195898728376676,0.004964640022327587,4.215669982885068,0.4807194206320275,-0.42132974947148494
158,158,165330882.0,506528.0,0.6725,2020-12-18,C,10.0,2020-12-11,1.35,0.654675,523.0,7.0,0.100759,0.149820318,1.0272272501622943,0.016766826276418716,3.3375961606861777,0.4270385746617967,-0.3674928439444618
159,159,165330883.0,506528.0,0.675,2020-12-18,C,10.0,2020-12-11,1.0,0.654675,26.0,7.0,0.100759,0.149820318,1.0310459388246076,0.0242432754618949,4.839488425996552,0.09150702572618166,-0.46350665966116833
164,164,166098022.0,504880.0,0.3525,2020-12-18,C,10.0,2020-12-11,2.3600000381469726,0.3485840087890625,7827.0,7.0,0.100759,0.0958986213,1.0112339955712288,0.030108446732767122,2.1898497607182072,0.2748698475600385,-0.102048255884665
165,165,166098023.0,504880.0,0.3575,2020-12-18,C,10.0,2020-12-11,0.8,0.3485840087890625,8387.0,7.0,0.100759,0.0958986213,1.0255777401892603,0.027820368954853514,4.012806222384862,0.3874599237593954,-0.12839994907490743
193,193,174069424.0,701057.0,11.375,2020-12-18,C,2.0,2020-12-11,3.0,10.85,11.0,7.0,0.100759,0.1312356346,1.0483870967741935,0.04160532846540235,2.7237834530130187,0.6441811945814444,-0.3069444579390276
194,194,174069425.0,701057.0,11.625,2020-12-18,C,2.0,2020-12-11,4.0,10.85,200.0,7.0,0.100759,0.1312356346,1.0714285714285714,0.049254095709166106,1.4772666331363882,0.2617847756781245,-0.14397876452919695
195,195,174118399.0,701057.0,11.2,2020-12-18,C,2.0,2020-12-11,19.0,10.85,57.0,7.0,0.100759,0.1312356346,1.032258064516129,0.03344895183975531,2.8057104178310612,0.23989650716712096,-0.20035080857355242
196,196,174118400.0,701057.0,11.3,2020-12-18,C,2.0,2020-12-11,7.5,10.85,8.0,7.0,0.100759,0.1312356346,1.0414746543778803,0.027215989388422804,1.4046653395743347,0.5256636269662444,-0.5122713968166976
197,197,174118401.0,701057.0,11.35,2020-12-18,C,2.0,2020-12-11,4.0,10.85,19.0,7.0,0.100759,0.1312356346,1.0460829493087558,0.046565327690360266,2.8228750871346078,0.28273179419312355,-0.7390791901504249
198,198,174118405.0,701057.0,11.6,2020-12-18,C,2.0,2020-12-11,5.0,10.85,44.0,7.0,0.100759,0.1312356346,1.0691244239631337,0.007395117892192381,4.052425147707632,0.4666169144773302,-0.19842323582744426
199,199,174118406.0,701057.0,11.65,2020-12-18,C,2.0,2020-12-11,3.0,10.85,3.0,7.0,0.100759,0.1312356346,1.0737327188940093,0.014240768142776656,4.781731471949251,0.12306217460659989,-0.09496830445926294
200,200,165121490.0,701057.0,12.2,2020-01-17,C,2.0,2020-01-10,12.0,12.0095,353.0,7.0,1.585866,0.1139833705,1.015862442233232,0.050438513818574116,1.6547060964532083,0.6871778760448627,-0.6628954295349746
201,201,165121491.0,701057.0,12.3,2020-01-17,C,2.0,2020-01-10,3.0,12.0095,61.0,7.0,1.585866,0.1139833705,1.0241891835630128,0.0421023637799737,1.440278626864836,0.6670667410712942,-0.39338367602604063
210,210,165129739.0,506522.0,1.105,2020-02-14,C,10.0,2020-02-07,3.6599998474121085,1.10015302734375,40.0,7.0,1.60183,0.1323522274,1.0044057258724748,0.004829487601071308,2.6310561714086114,0.10102714231337197,-0.37121596147482
211,211,165134494.0,504880.0,0.3775,2020-02-14,C,10.0,2020-02-07,3.6599998474121085,0.3798489990234375,2928.0,7.0,1.60183,0.1596956393,0.9938159662669203,0.050709697622295456,0.9171873716621359,0.3670162054451838,-0.7188890978251321
212,212,165134495.0,504880.0,0.38,2020-02-14,C,10.0,2020-02-07,2.0700000762939452,0.3798489990234375,2607.0,7.0,1.60183,0.1596956393,1.0003975289574296,0.011011136632578904,3.8453076850145744,0.5650486775363476,-0.24371983952676224
213,213,165134496.0,504880.0,0.3825,2020-02-14,C,10.0,2020-02-07,0.9600000381469729,0.3798489990234375,2808.0,7.0,1.60183,0.1596956393,1.006979091647939,0.048331688575526194,1.2858711930861715,0.05732497372876399,-0.6221645024255935
214,214,165135253.0,506496.0,2.73,2020-02-14,C,5.0,2020-02-07,7.080000305175782,2.7027619140625,285.0,7.0,1.60183,0.1616347114,1.0100778710088298,0.04485496033665376,4.043572124554741,0.10340958952318932,-0.14539585327613655
215,215,165135254.0,506496.0,2.74,2020-02-14,C,5.0,2020-02-07,4.6400001525878904,2.7027619140625,1083.0,7.0,1.60183,0.1616347114,1.0137777899502542,0.04678479842936755,3.554590769781913,0.5386903912922886,-0.7366080637560048
216,216,165135255.0,506496.0,2.75,2020-02-14,C,5.0,2020-02-07,2.979999923706054,2.7027619140625,274.0,7.0,1.60183,0.1616347114,1.0174777088916784,0.023582113297722612,3.7058054773395415,0.2645025227359691,-0.39776966519115764
217,217,165135256.0,506496.0,2.76,2020-02-14,C,5.0,2020-02-07,1.9,2.7027619140625,391.0,7.0,1.60183,0.1616347114,1.0211776278331026,0.01331652796445068,4.43179470836472,0.40454294391602497,-0.735486831515413
218,218,165135257.0,506496.0,2.77,2020-02-14,C,5.0,2020-02-07,1.2199999809265136,2.7027619140625,307.0,7.0,1.60183,0.1616347114,1.024877546774527,0.02181119692692207,2.944569463636803,0.4811774273304762,-0.30656130773665974
222,222,165178064.0,701056.0,9.9,2020-02-14,C,1.0,2020-02-07,24.0,9.811,102.0,7.0,1.60183,0.1404935436,1.009071450412802,0.009048838276193037,2.6160444331953085,0.1077195500473307,-0.7274683181375887
223,223,165220422.0,701057.0,12.5,2020-02-14,C,2.0,2020-02-07,14.0,12.237,121.0,7.0,1.60183,0.1876681429,1.0214921957996241,0.0032992044092451647,3.42693656670062,0.6911048260224594,-0.6907966849426468
224,224,165220423.0,701057.0,12.55,2020-02-14,C,2.0,2020-02-07,8.5,12.237,3.0,7.0,1.60183,0.1876681429,1.0255781645828226,0.04484441956526448,2.5915797297955985,0.612625807254516,-0.6758216709902068
225,225,165220424.0,701057.0,12.6,2020-02-14,C,2.0,2020-02-07,4.5,12.237,28.0,7.0,1.60183,0.1876681429,1.029664133366021,0.017262943959940952,4.680041262744489,0.5964882089303348,-0.6440266239268043
226,226,165224900.0,506497.0,0.605,2020-02-14,C,10.0,2020-02-07,2.8649999618530275,0.602975,55.0,7.0,1.60183,0.146793464,1.0033583481902233,0.04228445423061304,3.273108626641942,0.19881642304897948,-0.21580832664263516
237,237,165130230.0,701057.0,12.2,2020-01-24,C,2.0,2020-01-17,16.0,12.02525,56.0,7.0,1.577119,0.1177587291,1.0145319224132554,0.04696025300499925,0.43086803387623496,0.1074548815714103,-0.1825007759682145
238,238,165130231.0,701057.0,12.25,2020-01-24,C,2.0,2020-01-17,9.0,12.02525,11.0,7.0,1.577119,0.1177587291,1.018689840128064,0.010803600057033586,3.421176445262191,0.41741428977656697,-0.5079271907290184
239,239,165130232.0,701057.0,12.3,2020-01-24,C,2.0,2020-01-17,5.0,12.02525,8.0,7.0,1.577119,0.1177587291,1.0228477578428723,0.027119181668551637,0.9058831342030793,0.17076082037225573,-0.07366976250417376
240,240,165130233.0,701057.0,12.35,2020-01-24,C,2.0,2020-01-17,3.0,12.02525,41.0,7.0,1.577119,0.1177587291,1.0270056755576806,0.028997335121571235,2.7838412533310333,0.16879032347313233,-0.4747903190804263
241,241,165135357.0,506497.0,0.61,2020-01-24,C,10.0,2020-01-17,3.1170000076293944,0.610072021484375,62.0,7.0,1.577119,0.071983536,0.9998819459312365,0.04738613726988443,3.2011137111485968,0.6576960953768869,-0.4413447671668364
242,242,165135359.0,506497.0,0.6125,2020-01-24,C,10.0,2020-01-17,1.8670000076293944,0.610072021484375,14.0,7.0,1.577119,0.071983536,1.0039798227588237,0.027600671275313345,0.28480452213351604,0.16162228208395965,-0.09816860987471789
243,243,165135361.0,506497.0,0.615,2020-01-24,C,10.0,2020-01-17,0.9939999580383301,0.610072021484375,14.0,7.0,1.577119,0.071983536,1.0080776995864105,0.010319384924153224,1.6166795792712725,0.5420243588198892,-0.0832193120231893
256,256,165135260.0,506496.0,2.8,2020-02-14,C,5.0,2020-01-14,2.8600000381469726,2.691298046875,61.0,31.0,1.691604,0.1333347205,1.0403901579207175,0.04663255784463062,4.5432971527939126,0.41663827927474095,-0.09555537797735635
261,261,165168456.0,506497.0,0.6125,2020-02-21,C,10.0,2020-02-14,1.3899999618530272,0.606935009765625,139.0,7.0,1.604993,0.1516939767,1.009169005156786,0.018512407110953893,2.353165939739154,0.2674072484433523,-0.7438403249587904
263,263,165236898.0,701057.0,12.65,2020-02-21,C,2.0,2020-02-14,17.0,12.4325,223.0,7.0,1.604993,0.1867131686,1.0174944701387494,0.04563384297771805,3.5395859611586586,0.5164665026149139,-0.5210808885907282
264,264,165236899.0,701057.0,12.7,2020-02-21,C,2.0,2020-02-14,9.5,12.4325,96.0,7.0,1.604993,0.1867131686,1.0215161874120249,0.037102602241505515,4.027144026912081,0.6617230991382642,-0.42820788905106266
274,274,165189001.0,504880.0,0.3325,2020-07-17,C,10.0,2020-07-10,2.9799999237060546,0.3296219970703125,8991.0,7.0,0.105829,0.2720922949,1.0087312222948326,0.04906549140700973,3.932373483688997,0.6934744072718713,-0.42778784614712895
275,275,165189002.0,504880.0,0.335,2020-07-17,C,10.0,2020-07-10,2.029999923706055,0.3296219970703125,7705.0,7.0,0.105829,0.2720922949,1.0163156675752447,0.028007796788399788,1.5728757194228493,0.4094920348109555,-0.747173516062499
